timestamp,RPM,ENGINE_LOAD,ABSOLUTE_LOAD,COOLANT_TEMP,INTAKE_TEMP,OIL_TEMP,INTAKE_PRESSURE,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,THROTTLE_POS,FUEL_PRESSURE,FUEL_RAIL_PRESSURE_VAC,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,COMMANDED_EQUIV_RATIO,O2_SENSORS,O2_B1S1,SPEED
2025-05-07T18:31:16.673789,2163.0,4.705882352941177,1807.0588235294117,87,23,-22,22,18,4.6080000000000005,14.509803921568627,54,364.032,0.0,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,43.0
2025-05-07T18:31:22.660335,797.25,1.9607843137254901,1807.0588235294117,87,24,-22,33,18,4.6080000000000005,13.72549019607843,54,364.032,7.8125,7.8125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,22.0
2025-05-07T18:31:28.484359,2456.75,13.72549019607843,1807.0588235294117,87,24,-22,85,18,4.6080000000000005,22.352941176470587,54,364.032,-4.6875,3.125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,48.0
2025-05-07T18:31:34.237013,2186.75,4.313725490196078,1807.0588235294117,87,24,-22,27,18,4.6080000000000005,16.470588235294116,54,364.032,3.90625,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,38.0
2025-05-07T18:31:40.379442,1965.25,3.9215686274509802,1807.0588235294117,87,24,-22,23,18,4.6080000000000005,12.156862745098039,54,364.032,-11.71875,7.03125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,16.0
2025-05-07T18:31:47.200120,2794.75,5.882352941176471,1807.0588235294117,87,24,-22,38,18,4.6080000000000005,21.568627450980394,54,364.032,-6.25,3.90625,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,43.0
2025-05-07T18:31:52.846847,2028.25,4.313725490196078,1807.0588235294117,87,23,-22,21,18,4.6080000000000005,14.117647058823529,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,38.0
2025-05-07T18:31:58.636284,1349.75,3.9215686274509802,1807.0588235294117,88,23,-22,35,18,4.6080000000000005,19.607843137254903,54,364.032,-6.25,7.03125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,30.0
2025-05-07T18:32:04.235659,2445.0,7.0588235294117645,1807.0588235294117,88,23,-22,22,18,4.6080000000000005,14.901960784313726,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,41.0
2025-05-07T18:32:09.881499,1965.0,3.9215686274509802,1807.0588235294117,86,23,-22,22,18,4.6080000000000005,14.117647058823529,54,364.032,0.0,7.03125,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,23.0
2025-05-07T18:32:15.392942,2311.0,20.0,1807.0588235294117,86,23,-22,82,18,4.6080000000000005,25.88235294117647,54,364.032,-3.90625,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,43.0
2025-05-07T18:32:20.957084,2357.5,13.72549019607843,1807.0588235294117,86,22,-22,28,18,4.6080000000000005,15.686274509803921,54,364.032,0.0,2.34375,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,55.0
2025-05-07T18:32:26.547331,1669.5,4.313725490196078,1807.0588235294117,88,23,-22,22,18,4.6080000000000005,13.72549019607843,54,364.032,0.0,4.6875,0.140544,"((), (False, False, True, True), (False, False, True, True))",0.09,52.0
